comment,rate
"""Whiskey và em thật giống nhau, quyến rũ đến cay độc. Thế nhưng bản nhạc anh để dành cho Whiskey của anh lại mang tư vị về một Paris thơ mộng xa hoa""
""Vì thế, em cho phép tôi gọi em là nàng thơ Paris nhé?"""" Tôi tặng anh môt bản tình ca, mang tâm tư của mùa hạ cũ
Anh trả tôi một chuyện tình buồn, dệt",5
"""Yêu thương là điều nhẹ nhõm nhất trong cuộc đời. Đừng khoác lên nó bài tính khổng lồ giữa cho và nhận.""",5
"""Đừng bao giờ nói ra những lời lẽ khó nghe khi tâm trạng không tốt. Bạn sẽ có nhiều cơ hội để thay đổi tâm trạng, nhưng bạn sẽ không bao giờ có cơ hội thay đổi những gì đã nói ra.""",1
"(*) Đánh giá không tính điểm
Cả nhà nhớ đừng mua shop nay nha mua size xl nhung giao size L bỏ ko bận được ko thật nên tránh xa",1
"(*) Đánh giá không tính điểm
Chưa mặc chưa biết được sp như thế nào nhưng nhìn cách đóng gói là ko chấp nhận được rồi",2
"(*) Đánh giá không tính điểm
Có 4c ko phải 5c...........",1
"(*) Đánh giá không tính điểm
Giao hàng nhanh,đóng gói cẩn thận",3
"(*) Đánh giá không tính điểm
Gửi đến như hình nhưng không đúng xai với rất dầy có hai áo thì rất bé luôn lừa đảo không nên mua sop không uy tín giờ không có ảnh",2
"(*) Đánh giá không tính điểm
khách gọi cho bên giao hàng thì kêu hàng e để ở nhà ăn rồi ở nhà đợi bên giao hàng gọi",3
"(*) Đánh giá không tính điểm
Mình đặt cở L mà shop gửi vở M ,thành ra mặc áo hơi bó người, kiểu như shop hết hàng mà cố tình gửi ý, mà thôi cũng may mà vừa mặc ,dù hơi bó người shop rút kinh nghiệm nhé, không làm ăn như thế được đâu.",3
"(*) Đánh giá không tính điểm
Mua 20 cái giao hết 6 hồng 3 tím rất khó bận đồ",1
"(*) Đánh giá không tính điểm
Mua màu đen giao nude?
Tại sao vậy shop?",2
"(*) Đánh giá không tính điểm
Quần chất liệu được, may kỹ. Kích thước nhỏ hơn so với size thực tế, bạn nên mua lớn hơn 1-2 size. So với giá tiền thì chất lượng là ổn",3
"(*) Đánh giá không tính điểm
Sao viền cổ với viền ống tay k có viền màu đen vậy ?",3
"(*) Đánh giá không tính điểm
Tích cực:
Chất lượng sản phẩm ok.. 
Tiêu cực:
Rõ ràng mình đặt 2sp cùng lúc nhưng khi ship nhận được 1sp.. coi lại thì thấy còn 1sp nữa sẽ ship vào ngày khác. Vậy thì mình sẽ phải mất phí ship 2 lần? Mình không đồng ý với cách làm việc của shop nên đã liên hệ huỷ đơn nhưng 2 ngày hôm sau bên giao hàng vẫn gọi để ship nốt món còn lại?",3
"(*) Đánh giá không tính điểm
Tiki dạo này giao hàng chậm.",3
"(*) Đánh giá không tính điểm
Tiki gần đây giao hàng chậm.",3
"(*) Đánh giá không tính điểm
Đặt xanh nhạt shop giao màu xanh đậm, nhưng chất vải ok.không hài lắm vì giao sai màu",3
"(#(#+#+₫+₫+-#-#hwieizjdjzjxmsmsjxmdkskksz
Bshsjejsjxn",5
"(𝘏𝘊𝘔)
Em nhận chụp Feedback, lookbook, quay video, reels và tiktok.
-Chụp được đa phong cách bánh bèo, cá tính , sang chảnh.
-Đúng mood của sp.
-Chụp tôn sp, đúng màu sản phẩm.
-Trả ảnh nhanh.
-Cast trả theo sp/set
Cảm ơn add đã duyệt ❤️‍🔥",4
"( Hình Ảnh Chỉ Mang Tính Chất Nhận Xu )
Với số tiền đó tôi cảm thấy đã khá ổn rồi , lần sau sẽ ủng hộ shop",4
"( Hình ảnh và vid chỉ mang tc nhận xu )
Vải mỏng , vải rất dễ bám các vải thừa",3
(Hình ảnh và video chỉ mang tính chất nhận xu.),5
(QC) MobiFone: Soan Y gui 9011 de dang ky goi C120 voi uu dai: 120 GB data (4GB/ngay) Mien phi moi cuoc goi noi mang <20 phut va 50 phut lien mang trong nuoc. Gia chi 120.000d/thang. Vui long xac nhan truoc ngay 15/10/2022 (thue bao cam ket dung DV MobiFone trong vong 720 ngay). Chi tiet truy cap ht,5
"(TB) Soan N gui 1553 de gui thong tin den nguoi goi khi Quy khach dang ban, khong the nghe may. Cuoc DV 1.000d/ngay. Chi tiet LH 18001091 (0d). Tran trong!",3
(Ý kiến cá nhân) vải không đẹp nha rất kì nha(hình ảnh mang tính chất nhận xu),2
"[Hình ảnh mang tính chất nhận xu] Mua size38 thì cảm nhận của mình như sau: đế hơi bè, nhìn khá là thô",3
"[KHUYEN CAO] Tu ngay 27/09/2022, bao so 4 (NORU) anh huong trong tam toi cac tinh tu Thua Thien Hue den Binh Dinh. Trong bao co nguy co gay mua to, ngap lut, set danh co the lam hong thiet bi (ket noi wifi, ti vi, may tinh, laptop,...) cua Quy khach. Khi khong co nhu cau su dung, de dam bao an toan,",5
"[Mã FAWEEKDAY2 giảm 10000 đơn 50000] Dép bánh mỳ LEAP nữ, dép nam nữ quai ngang siêu nhẹ- 2 màu đen trắng",3
"[PIC] 221017 #SAKURA @ 'ANTIFRAGILE' MEDIA SHOWCASE

Sakura trên sân khấu b-side 'Impurities', đây sẽ là OST cho bộ truyện 'Crimson Heart' sắp tới của nhóm.",5
"[QC] HOÀN TIỀN đến 1.000.000đ khi tham gia ĐẠI HỘI HOÀN TIỀN trên Viettel Money. Mua bảo hiểm dễ dàng, nhận hàng ngàn ưu đãi. Truy cập https://viettel.vn/s/baohiem hoặc LH 18009000 (0đ) để biết thêm thông tin chi tiết. Từ chối QC, soạn TC3 gửi 199.",5
"[QC] Tham gia ngay chương trình Siêu vũ trụ My Viettel để có cơ hội nhận thưởng với tổng giá trị lên đến 30 tỷ đồng (sổ tiết kiệm 1 tỷ đồng, iPhone 13 Pro Max...). Tham gia ngay trên ứng dụng My Viettel tại https://myvt.page.link/Gamification. Chi tiết LH 18008098 (0đ). Từ chối QC, soạn TC3 gửi 199.",5
"[QC] Viettel MIEN PHI lap dat DV Internet wifi toc do cao, cuoc TB chi TANG THEM 3 thang su dung data 4G cho TB di dong Viettel len den 120GB/thang cho Khach hang tai TP. HCM.",5
"[TB] Bộ thông tin và truyền thông: Hãy cài đặt sử dụng ứng dụng i-Speed để kiểm tra tốc độ truy cập Internet của bạn. Việc hưởng ứng sử dụng thường xuyên của bạn sẽ góp phần thúc đẩy phát triển, nâng cao chất lượng dịch vụ Internet Việt Nam. Cài đặt ứng dụng i-Speed tại https://speedtest.vn/tai-ve (",5
[TB] Chào mừng Ngày Chuyển đổi số quốc gia 10.10 và Tháng 10. Tháng tiêu dùng s,4
"[TB] GỌI RẺ HƠN - ƯU ĐÃI HƠN. Chỉ 30.000đ/30 ngày, miễn phí 10 phút/cuộc gọi nội mạng (tối đa 500 phút). Đăng ký, soạn MP30X gửi 109. DV gia hạn sau 30 ngày. CT áp dụng cho TB nhận được tin nhắn. Chi tiết LH 198 (0đ).",5
"[TB] Nâng cao hiệu quả công tác cai nghiện ma túy và quản lý người sử dụng trái phép chất ma túy - Vì một cộng đồng khỏe mạnh và an toàn. Phòng, chống ma túy là trách nhiệm của mỗi cá nhân, gia đình và toàn xã hội.",4
"[TB] Quy khach co 4272 diem tieu dung Viettel++ tinh den het ngay 02/11/2022. Bam goi *098# hoac truy cap ung dung My Viettel tai https://myvt.page.link/vt10 de doi diem thanh luu luong data, phut goi, SMS hoac cac uu dai gia tri khac. LH 198 (0d).",5
[TB] Quy khach dung quen doi diem Viettel++ de nhan luu luong data mien phi su dung trong ngay hoac 30 ngay. Bam goi *098# hoac truy cap ung dung My Viettel tai https://myvt.page.link/vt10 de doi diem. LH 198 (0d),5
[TB] TẶNG 50% GIÁ TRỊ CHO LẦN NẠP TIỀN ĐẦU TIÊN VÀO CHỦ NHẬT ngày 04/09/2022. CT áp dụng với thuê bao nạp tiền vào tài khoản viễn thông qua tài khoản ngân hàng hoặc ví điện tử liên kết trên ứng dụng MY VIETTEL. Tiền khuyến mại sử dụng nội mạng trong 15 ngày. Giảm thêm 3% khi nạp tiền tại https://myv,5
[TB] VIETTEL TẶNG 20% GIÁ TRỊ TẤT CẢ THẺ NẠP trong ngày 10/11. Tiền KM sử dụng nội mạng đến hết 25/11/2022. Giảm thêm từ 3% - 5% khi nạp thẻ tại https://viettel.vn/pay/tt . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.,5
"[TB] Để bảo đảm an toàn phòng cháy, chữa cháy, Bộ Công an khuyến cáo: Các cơ sở, hộ gia đình chấp hành nghiêm quy định về an toàn PCCC; kiểm soát chặt chẽ nguồn lửa, nguồn nhiệt khi thắp hương thờ cúng, đốt vàng mã; khi có sự cố xảy ra báo ngay cho lực lượng chức năng theo số 114.",3
"[TB] ĐỪNG QUÊN NẠP THẺ HÔM NAY (25/10), nhận ngay 20% giá trị tất cả thẻ nạp, tiền KM sử dụng nội mạng đến hết 09/11/2022. Đặc biệt, giảm giá 10% khi nạp tiền trên Viettel Money tại https://km.vtmoney.vn/314y/kmdt50 . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.
Jjj hkbchubvgjbgkb vhnvhkbnkn hjjb",5
"[TB] ĐỪNG QUÊN NẠP THẺ HÔM NAY (26/09), tặng ngay 20% giá trị tất cả thẻ nạp, tiền KM sử dụng nội mạng đến hết 11/10/2022. Đặc biệt, giảm giá 10% khi nạp thẻ trên Viettel Money tại https://km.vtmoney.vn/314y/daitra2 . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.",3
"{[(Hàng ko giống quản cáo)]}
-Trừ 1*
(Giao hàng không đúng hẹn)
Quần rộng quá,Quần còn hơi ngắn.
-Trừ 1*
■Độ đẹp [Trung bình]
●Chấm:{7,5 Điểm}
Hàng này tui mua khi đang sale giá 5?k
_Thanh toán là:70k
_Giá bán trên shop là: 135k
◇Cân nhắc trước khi mua,hàngkhôngsale hoặcgiảm giá thì bángiá trên trời",3
"@Ahihi2294: Gọi tình ta là cuốn tiểu thuyết, Vì tình ta có mở có kết nhưng lại không có thật 🥺",5
"@Followme: https://shopee.vn/product/28193818/12885834723?smtt=0.24282775-1650114580.9 đây nha @Nguyen Phuoc Nhan: REF-PHUMR8
giảm 50k đơn 0₫ cho người mới ᥬ😏᭄",5
"@Nhung Lại: Nguyên liệu: 1 bịch sữa k đường hoặc có đường, 2 miếng phô mai, 30g bột bắp, 2 thìa đường,1 lòng đỏ trứng chúc mấy bạn làm thành công nhee💋",5
@XE LĂN HẾT XĂNG NGỒI RA ĐI Ẻ:3: https://www.facebook.com/profile.php?id=100081625715897,5
"$%-""++ vggdt $#@~`|•©®75(,😐😑😶🤨🤔",4
- *** chưa nhận đc hàng bưu tá báo phát thành công. gửi đơn vị chuyển phát nào mà lằm ăn như bìu,1
"*** xem xét đơn vị vận chuyển Ninjavan VN! Họ nhận lên đơn vận chuyển cho đã rồi không chịu giao đến nhà khách hàng. Mà bắt khách hàng đến kho họ lấy. Nếu ko lấy họ báo về khách hàng ko nhận đồ.
 Ninjavan VN đơn vị vận chuyển coi lại cách thức làm ăn của mình nhé. . . đơn nào nhắm làm đc thì làm. Chứ đừng làm ăn kiểu : ăn ko đc phá cho hôi.
Lên đơn v nhận vận chuyển cho đã. Đến KIÊN GIANG thì báo voi khách hàng là ko vận chuyển ra Đảo. Đơn vị vận chuyển Ninjavan VN hỏi thật có ai biết đọc chữ v biết vị trí địa lý Việt Nam ko... Trong khi người ghi rõ v đầy đủ thông tin v địa chỉ cụ thể...",5
"*Góc thất vọng 
Sau khi mua về giặt bằng tay thì áo nó bị dính hình lại rồi gỡ ra bị như thế này :)) tróc ngay mặt tiền vậy sao mặc đây... không nên mua",1
" * Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.

* Hàng đóng gói rất đẹp. Quả nhiên người bán đã gửi gắm rất nhiều tâm tư và tình cảm trong lúc gói hàng. Hộp không có dấu hiệu bị móp, chứng tỏ bộ phận vận chuyển đã nâng như nâng trứng, hứng như hứng hoa. Xin nghiêng mình cảm ơn vì tất cả.

* Thời gian vận chuyển rất hợp lí. Tôi đã đặt hàng với tâm thế hào hứng chờ đợi để được trải nghiệm sản phẩm và tôi không hề bị chờ... Xem thêm",5
"#PPF chống nhìn trộm. #Chống Vân tay 
🔜   Công nghệ mới
Dán full tất cả dòng smart phone #cân hết các màn cong unnnn nha Ace ... 

🔜🔠ĐẶT HÀNG ZALO: 0767978773 (để được tư vấn ạ)",5
"+1: Òmm nói chung là quần siu rẻ luôn mà lại còn đẹp lắm ý mng ,vải hơi mỏng nma trông mỏng thé thôi mặc cũng ấm phết, mặc vào mùa thu đông không lo lạnh nhé 

-1 : Quần đẹp ,xịn nma lại có túi 2 màu khác nhau nhìn không đc đẹp lắm ,chắc kiểu như là shop thiếu vải :v ( I'm think so)
 
*Tớ m55 nặng 35kg mặc size L cũng đẹp nha mỗi tội hơi dài 1 tí xíu thôi (không có ảnh nha sorry các bẹn ):333",5
"+10 Điểm thân thiện
+10 Điểm Hàng Đẹp
+10 điểm giá tốt
+10 điểm chất lượng
+10 Sao cho shop",5
"+10 điểm cho độ hoàn thiện
+10 điểm cho sự nhiệt tình nhé
+Shop 5 SAo",5
"+Sản phẩm chỉ ở mức tạm ổn..phù hợp với giá tiền 
+Ở ngoài mặc quần này với áo hoodie trông khá ổn nhưng chả hiểu sao lúc mình chụp nó phèn quá
+M 1m5 nặng 55kg (béo) mặc size M khá ổn...còn hơi rông cơ ...nên bạn nào hơi béo chút thì yên tâm",4
"+ Sản phẩm đẹp!
+ Chất liệu ok!
+ Có đôi màu đỏ ( tất quả 🍓) là màu đậm hơn hình mẫu!
+ Đóng gói có 1 lớp túi ni lông đen thôi
+ Lúc đầu mua tưởng được nhiều dây chun(ảnh 3 ), nhưng lúc đặt xong mới biết là chỉ được 1 CÁI DÂY CHUN( ảnh 4 )
💥🚨XIN LỖI VÌ VIDEO KHÔNG LIÊN QUAN ĐẾN 🥺🙏",4
"+ Táo sản xuất: hoạt động sản xuất đóng vai trò là hoạt động cơ bản nhất trong các hoạt động của con người, quyết định đến các hoạt động phân phối, trao đổi, tiêu dùng

+ Táo phân phối: hoạt động phân phối thúc đẩy sản xuất phát triển nếu quan hệ phân phối phù hợp đồng thời có thể kìm hãm sản xuất v",5
"<bg=b0ffffff><fg=b0ff0000>-Sau đây Next xin hướng dẫn m.n đăng stt,cmt,nt bằng chữ màu
*Chú ý: Chỉ hiện thị màu trên ứng dụng fb của di động...
+Viết <fg=b0...> nội dung (0 là số không)
+Hoặc <b ><fg=b0...> nộidung (thêm <b > chữ sẽ to và đậm hưl)
Dấu...chính là mã màu.",5
=))) dép to như cái bao 🥹 tốt nhất nên giảm 1 size lại nhen vì ib shop cũng k giải quyết cho đâu😃,1
=))) mình mua 2 quần quần đen bthg ko nót nỉ thì mik thấy cx oke nhưng đến khi mở chiếc quần jogger xám lót nỉ ra thì thấttt vọngggg tràn trề vì mùi của nó . Khong những thế quần còn bị xù lông trc rồi,1
"=)) chất lưởng ổn, hơi xu là k đọc kỹ mua về nó là quần nữ các ông ạ, ulatr lun",4
"-->Về giao hàng: Giao hàng không quá nhanh mà cũng không chậm, Mình Thanh Hóa đặt về tầm 2 ngày
-->Về sản phẩm: Sản phẩm hợp ý mình còn với mn thì 0 biết..
===> Có điểm cộng là chị giao hàng rất cute.. Nếu chị nhìn thấy thì cho e xin lỗi vì e có việc bận..
 Bài đánh giá này để cho mn Tham khảo nha",5
"| 29 . 9 . 2022 - TỔNG HỢP QUÁN CAFE ""CỰC PHẨM"" TRONG CÁC KHU TẬP THỂ CŨ Ở HÀ NỘI | Hà Nội Xịn!!!

1. About palette cafe - 1A Lê Phụng Hiểu
2. Gác - Phòng 211, Khu tập thể 435A Giải Phóng
3. Cafe Lâm Thao, khu tập thể Thanh Xuân Bắc
4. Cư Xá cafe - Tầng 2 A11 Tập thể Khương Thượng
5. Joie - góc sân",5
-0/'znznndjnd nzn,4
0393bhikjsssgjnvcfikkhcfghbbvffgggghjhvvghhjjjvcffgujjhh,2
"1/ Hài lòng:  nhận hàng đúng hình, chính hãng. Vải đẹp, mịn, không bay màu, cotton mềm mát. Form quần ôm đẹp, bạn nào muốn thoải mái nên lấy size lớn hơn. Giá xứng với chất lượng. Nên mua dùng.

2/. KHÔNG HÀI LÒNG: NỘI DUNG GIÁ BÁN KHÔNG TRUNG THỰC.
   - Trên web ghi giá 250k GIẢM50% , còn lại 125k.
  - Thực tế nhận hàng, có barcode giá của NSX combo là 125k.
 ==> như vậy có phải tôi bị lừa không?
( * Tôi muốn góp ý để shop cải tiến tốt hơn.)",1
"1. Giao hàng nhanh.
2. Đóng gói ưng ý và chuyên nghiệp. 01 áo nằm trong 1 hộp giấy lịch sự.
3. Chất vải mềm. Tuy nhiên: Size màu xám nhỏ hơn các màu khác và chất liệu áo màu xám cũng cứng hơn.
4. Theo bảng size đã cho, mình mua cho anh xã 5 cái. Và lúc nhận thì áo siêu to khổng lồ, không mặc vừa cái nào cả. Đành mang cho. 😁😁😁😁",3
"1. Giao hàng nhanh ♥️
2. Shipper kh cho kiểm tra hàng trước khi nhận hàng …??? Mình muốn kiểm tra hàng vì sợ shop giao kh đúng mẫu , kh đúng size … !!!
3. Mình thấy Feedback của mọi người , thì có bạn  nhận được 12 sticker , nhưng khi mình nhận hàng thì chỉ có 10 sticker kèm theo 😎 sao lạ vậy ta ??",4
"1. Hàng khá đẹp, đúng size, dây giày quá ngắn xỏ xong còn 1 mẩu k thắt đc, k có bill kèm dây gì hết, nhiều chỗ bị bẩn, bị sao ý. 
2. Giao hàng rất nhanh hqua vừa đặt hnay đã đc hàng r. Đóng gói sơ sài, shipper thân thiện. 3. Khuyên mng nên mua đúng size mik hay đi k nên tăng.",4
"1.I like eating fast food too much. Chips is my favorite food.
2.I usually eat rice for breakfast, sometimes I eat noodle because after a long time eating rice I can be satiated.
3.I’m a student so I have class very early. I often have breakfast at 6.
4.I eat at home. But sometimes I go to eatery.
5",1
"1. Không bao giờ khóc lóc đau khổ vì một người đàn ông không yêu bạn.
Bạn xứng để được một người đàn ông tốt theo đuổi.",4
"10/10 cho sự xinh xẻo của chiếc quần
Xinh lắm nha từ chất liệu cho đến kiểu cách đều rất ưng ạ
Đúng với mô tả , 5* cho shop
Mua đi nhé mọi người
Mình m50 42kg mặc sz M thoải mái lắm nha",5
10₫ chất lượng nhưng shipper tệ quá tệ luôn ý thái độ thực sự là khiến người khác tức,2
100/100 điểm,5
100k nà quần đẹp hơn 2trăm mấy ngoài cửa hàng. 1m65 55kg mặc size 30 thoải mái. mọi người nên mua nhé.,5
"10k 1 cái tất thật sự không xứng , tất mỏng , vải thô , kiểu nhìn phèn phèn không giống ảnh tí nào",2
"10 điểm.10 điểm, 10000000000000 điểm. Dép đẹp xuất sắc ạ. Mê mê",5
"10 điểm chất lượng, 10 điểm cho cách phục vụ
cực kì xuất sắc",5
10đ nhưng ship hơi lâu 1 xíu nhưng mà cuteeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee cực lunnnnnnnn:3 lần sau sẽ ủng hộ shoppppp:>,4
1234577890qwertyuioplkjhgfdsaazxcvbnmmifexiog udxtuv uib  i   c,2
13 sản phẩm mà shop giao chỉ có 5 sp thôi :((,2
"157cm thì chọn size M sẽ tốt hơn là size S
Giá sp cũng k phải rẻ so với chất lượng áo, tuy nhiên shop không có chính sách đổi trả, khách phải chịu 2 chiều ship",3
167890qwertyuiopasfgjklzxvcnm,1
"17102004 Tôi sau những ngày
Tiêu tiền như đạigiaa",4
"1 bên may thừa vải, mặc vào nhìn nhăn nhúm,     Bên ngoài lùng nhùng kì lắm. Shop có đổi được k",3
1 bên nhỏ hơn bên kia 1 tẹo teo jsjjdnbxjsk hsjndb jsind jsjns,4
1 chiếc ko sao chiếc còn lại keo chảy ra 2 bên trông rất xấu,2
"1hitshop là shop đầu tiên mình tin tưởng mặc dù mình chưa hề mua gì ở shop nhưng khi lần đầu mình mua thì lại thấy khá thất vọng
Kiểu chị mình thì lúc trước cũng có mua 1c màu đen ở đây thì chất vải dày dặn,cực kì ưng
Thế mà giờ mình đặt chất vải nó khác hoàn toàn,nó mỏng và khéo còn xù lông
Chán",1
1 hộp 1 miếng mà giao có 7 miếng là sao,1
1k mà như này là ok la lắm lần sau sẽ ủng hộ shop nx ạ!,4
"1m50 chắc mặc size M. Mình mua size S mặc hơi chật, nhỏ. Để sử dụng lâu dài mới biết chất vải có bị xù không",5
"1m52  chọn size M vừa đẹp, quần hơi mỏng nma với giá săn sale thì ổn 123457890",4
"1m58 47kg mình mặc thấy vừa luôn size M, mấy bạn trên m58 nên lấy lên 1 size có gì thì cắt bớt k là bị cộc á, màu áo tối hơn trong ảnh nhiều lắm, màu xanh mà mặc gần như màu đen luôn, chữ là màu cam đậm như ảnh mình mặc ấy nhé chứ kp màu giống ảnh chụp áo không đâu, ước gì màu nó y ảnh chụp 🥲🥲🥲",4
"1m65-49kg dáng vai ngang to mặc size L qua mông. Màu be của shop nghiêng về nâu sậm nhiều hơn chứ không phải màu be sáng như hình đâu nên các bạn da ngăm mặc bị dìm da. Vải hơi nóng, với giá này cũng không trông đợi nhiều. Đối với các bạn vai nhỏ, dáng người nhỏ nên cân nhắc chọn size bé thôi nhé!",4
1m68 50kg đặt size m mà nó to mà hai người măch đươch lun,2
1 mảnh yếm. Cứ tưởng là áo cơ. Đắt,3
"1 ống ngắn 1 ống dài, một ống có bo chun một ống không nên phần gấu quần bên to bên nhỏ, vì vải mềm và hơi mỏng nên mặc bị chảy, mặc không lên được form :((",2
"1 sao, nói chung hàng tiki giao hàng phí qá cao. nhân viên phục vụ ko hài lòng",1
"1 sao, nói chung hàng tiki giao hàng phí qá cao. nhân viên phục vụ ko hài lòng, ko quay lai mua hang tiki",1
"1 sao, phí giao hàng cao, nhân viên phục vụ ko hài lòng mặc kệ, chèn ép ng dùng, ko tiếp tục mua hàng tiki.",1
"1 sao vì chất lượng phục vụ
xem thường khách hàng nhắn tin nhờ tư vấn sản phẩm mấy hôm k rep",1
1 trải nghiệm mua hàng cực kì kém đối với shop này. Nhắn tin với shop thì shop lại chặn khách hàng. Áo cực kì xấu. Form áo nhìn chả ra gì. Vải mặc rất nóng. Rất không đáng tiền. Không bao giờ mua lại lần 2. Dịch vụ của người bán cực kì tệ.,1
1 trong 2 áo có bứt chỉ bên vai trái 1 tí.,4
1 trong những món hàng hi vọng nma mua về thất vọng tràn trề vải thô mặc lên cx thô có mùi hôi khắm khắm chỉ thừa nhiều và có cả phấn đỏ méo hiểu sao ạ,1
"20k quá rẻ cho 1 chiếc quần chất lượng, mặc rất thoải mái, đường kim mũi chỉ chắc chắn, đâu ra đó. Lai quần may viền luôn, rất cẩn thận. Quá xuất sắc luôn, đúng là thương hiệu có tiếng có khác.",5
"2367890qưertyuiooasdfghhjklzcxvbnmm.,@#%&-+)/*'?!_.∆",5
2 bên cùng size mà 1 bên to 1 bên nhỏ .,1
"2 bên giày bị rách nhưng dây giày cũng chê được nên kh sao
hộp đẹp
mình đi dép 37 đặt giày 38 vừa xinh",3
2 cái áo chất liệu vải khác nhau hoàn toàn,1
2 cái cái đúng 1 cái sửa size như này. tôi không thích vậy.,1
"2 cái này hơi sai sai, quần tây chứ ko phải quần kaki, màu cũng khác. mình chọn màu đen hết, giờ lại 1 cái màu đen, 1 cái màu xanh xám. Bữa mua thấy ổn, mua lại thì vậy. mắc công đổi",3
2 chiếc đều số 4 mà đeo 1 chiếc to 1 chiếc bé cọ vào chân rất đau,2
2 giây giày 2 màu khác nhau. gửi giày cho khách mà k kiểm tra sp đã gửi rồi. cho 1 sao lần sau cho nhớ,1
"2 màu 2 loại vải khác nhao, màu trắng ngà mặc nó cứ bị thụng xuống nhìn pùn cừi, có chút xíu chỉ thừa",3
"2 sao cho giao đủ hàng, nhưng như giẻ lau *** đúng hàng lừa đảo",2
2xl mà 57 cân mặc không vừa,2
"2xl mà như size M quá nhỏ, quá thất vọng 
Lần đầu mua của shop mà thất vọng quá",1
"2 đôi này rất mỏng, to hơn so với mình nghĩ. So với chất lượng của đôi lần trước mình mua ( mua ở shop nước ngoài chứ k phải shop này)  thì khá tệ. Chớt cái tội ham rẻ mng ạ 😢",3
3.58 CuF:/ 感觉猫咋这么带感%法斗蠢萌 %铲屎官的乐趣 %变速 %精神小狗   https://v.douyin.com/Rv89Eug/ 复制此链接，咑开Dou姻搜索，直接观看視pin！,5
36/37 sao rộng thế này 😢😢 hơi thất vọng. Nhưng bù lại chất lương đáng tiền . Đóng gói an toàn,3
36 mà qt bự,3
"38 mang hơi chật xíu , giao hàng nhanh shop phục vụ tốt",5
