comment,label,rate,Column1
Chuẩn hàng Bitis.,POS,4,
Màu ko đẹp như hình chup.,NEG,1,
Hàng đẹp giao nhanh.,POS,5,
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè.",POS,5,
Hợp với giá 130k.,POS,5,
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.",NEG,2,
Thời gian giao hàng rất nhanh.,POS,5,
"Công nghệ hơi lạ, ko biết có bền ko.",NEU,3,
Gối hơi nhỏ.,NEG,2,
"Áo nhìn xinh , shop nói chuyện cực đáng yêu.",POS,5,
Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá.,NEU,3,
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi.,NEG,1,
Vải oke lắm luôn.,POS,5,
"Sản phẩm tạm được, đóng gói không đẹp.",NEG,2,
Chưa thấy shop nào hãm l thế này.,NEG,1,
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.",POS,5,
Tầm giá là sử dụng tot.,POS,5,
Không dùng được.,NEG,2,
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình.,NEG,2,
Sản phẩm tôt giao hang nhanh.,POS,4,
Hàng bình thường.,NEU,3,
K con duong nao de che .,NEG,1,
Chất vải ok dày dặn.,POS,5,
Ưng!,POS,4,
Nay mua thêm 1 combo nữa.,NEU,3,
áo dep lam shop ui.mình rat thix.,POS,5,
Thời gian giao hàng nhanh.,POS,5,
Rất ưng hiii.,POS,5,
K giao.,NEG,2,
Màu sắc k giống hình.,NEG,2,
Áo vải quá xấu.,NEG,1,
"Nói chung là mình mua mặc đi làm ok, đáng tiền.",POS,5,
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết.",POS,5,
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng.",NEG,2,
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Hàng kém chất lượng và không như quảng cáo.,NEG,2,
Shop phục vụ rất tốt.,POS,5,
Nói chung là không thất vọng đâu.,POS,4,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Sản phẩm giống hình.,NEU,3,
Giầy hơi cứng Chất lượng sản phẩm tạm được.,NEU,3,
Sờ chất quần thì Ok luôn.,POS,4,
"Vay đẹp kỹ,tu van nhiet tinh.",POS,5,
Y hình.,POS,5,
Nt ko trả lời.,NEG,2,
Chất lượng vừa với giá tiền.,POS,4,
Sẽ ủng hộ shop dài.,POS,5,
Hàng chất lượng hơn giá sản phẩm nhak mọi người.,POS,4,
Áo rách ntn ko hiểu phải mặc ntn luôn.,NEG,1,
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok!",POS,4,
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.,POS,4,
Chọn màu này lấy màu kia.,NEG,2,
"hàng tương đối ổn,mình khá hài lòng.",POS,4,
Inbox ko thèm trả lời.,NEG,2,
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang.,POS,5,
Mất uy tín.,NEG,1,
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá.,POS,4,
Rất ưng.,POS,5,
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*.",POS,4,
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh.",POS,5,
giày đẹp lắm . giao hàng lâu quá mun điên.,POS,4,
Shop giao siêu nhanh.,POS,5,
Giao hàng nhanh.,POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền.,POS,4,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Vừa ý.,POS,4,
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn.",POS,4,
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,POS,5,
Nhưng ko sao tks shop.,POS,4,
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì.,POS,4,
Vài thun rất mỏng ko fai len.,NEG,1,
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍.,POS,5,
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒.",POS,4,
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao.,POS,5,
Thêm tin tưởng vào shoppe.,POS,4,
Áo vải đẹp mịn mát ❤.,POS,5,
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh.,POS,5,
Chủ shop nhiệt tình.,POS,5,
Rất đáng tiền.,POS,5,
Sản phẩm rất đẹp.,POS,5,
Hơi thô.,NEG,2,
Vãi rất mỏng.,NEG,2,
Hàng y như hình.,NEU,3,
Đẹp lại rẻ.,POS,5,
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh.,POS,5,
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k.",POS,5,
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh.",POS,5,
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng.",POS,5,
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm.",NEG,2,
Quả ko đẹp Chất lượng sản phẩm tạm được.,NEG,2,
"Áo chất đẹp, shop phục vụ tốt.",POS,4,
Đóng gói sản phẩm chắc chắn.,POS,5,
Tôi rất hài lòng về sản phẩm.,POS,5,
Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp.,POS,5,
Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn.,NEG,1,
Hàng rất ok 👍.,POS,5,
CL phù hợp giá tiền.,NEU,3,
"Đúng hình ảnh, đẹp.",POS,5,
Mẫu cũng đa dạng.,POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Hết hàng thì phải báo với khách chứ đằng này vẫn giao.,NEG,2,
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng.",POS,5,
"Đẹp, vừa ý...",POS,4,
Tuyệt ạ ... giày nhẹ êm.,POS,5,
Đúng mỗi 1 màu.,NEG,2,
Sản phẩm chất lượng .,POS,4,
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật.",NEG,1,
Đóng gói kỹ.,POS,5,
Gói hàng cẩn thận.,POS,5,
Cảm ơn shop nhìu.,POS,4,
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa.",POS,5,
Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền.,POS,5,
Cảm ơn shop nhé.,POS,4,
Giống hình mà vải hơi cứng bạn ạk.,POS,4,
"Chất áo đẹp lắm, yêu shop.",POS,5,
Quần của shop quá đẹp luôn.,POS,5,
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn.",POS,5,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền.,POS,5,
Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm.,NEU,3,
Đặt 2 quần dài mà đóng gói cho 1 quần ngố.,NEG,2,
Khuyến khích cho 5*.,POS,5,
"Nét chữ không được rõ, sp có mùi hơi kinh.",NEG,1,
Mặc phối với chân váy hay jean đều đẹp.,POS,5,
Nhưng GHTK thu tròn 110.000 đ.,NEG,2,
"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc .",NEU,3,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay.,POS,5,
"Đóng gói sp chắc chắn, giao hàng rất nhanh.",POS,5,
Chất lượng sản phẩm kém không giống như mô tả.,NEG,2,
Đáng tiền.,POS,5,
Váy mặc siêu xinh.,POS,5,
Thời gian giao hàng rất nhanh hàng y hình.,POS,4,
Vải thì rất đẹp.,POS,5,
Tiền nào cũa náy.,NEU,3,
Gooddd.,POS,5,
Áo rộng hơn hình nhiều.,NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm.,NEU,3,
Áo from rộng như ảnh.,POS,5,
Chất liệu vải ổn.nhưng hơi rộng.,NEU,3,
Ship ko đúng màu.,NEG,1,
vãi nĩ dày . nóng.,NEG,2,
"Shop phục vụ rất tốt, chất lượng sp ok.",POS,5,
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun.",NEG,2,
Khá ok 😉 sẽ ủng hộ shop tiếp.,POS,4,
Đẹp lắm nha.,POS,5,
Áo vừa quá.,POS,5,
Thời gian giao hàng nhanh.,POS,4,
Áo đẹp lắm b ơi.,POS,5,
Màu thì ko thực sự giống trong hình.,NEG,1,
Chất lượng vải kém ko như hình .,NEG,2,
Đã quay Video và chụp ảnh nhưng shop không phản hồi.,NEG,2,
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt.",POS,5,
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág.",NEG,2,
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.,NEG,2,
"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k.",NEU,3,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,4,
Chất dc.,POS,5,
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ!",POS,5,
"Mật ong loãng, ko đặc sánh lắm.",NEG,2,
Sẽ tiếp tục ủng hộ shop dài lâu!,POS,5,
Dép đi êm và mềm.,POS,4,
"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng.",NEU,3,
Chất tạm dc tương sứng giá tiền.,POS,5,
Giao hàng và chăm sóc tận tình.,POS,5,
giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp.,NEU,3,
Shop cho doi tra ok.,NEU,3,
Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng .,POS,5,
Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn.,POS,4,
"Vải mỏng, thô hơn mình tưởng tượng.",NEU,3,
Giao hàng nhanh.,POS,5,
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.,POS,5,
"áo màu sắc tươi sáng, vải chất ạ.",POS,5,
Shop rất thái độ với khách hàng.,NEG,1,
bị chật ngắn.,NEG,2,
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,POS,5,
Được tốt.,POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Chất lượng sp qá tệ.,NEG,1,
Chủ shop nhiệt tình dễ thương.,POS,5,
"Giao hàng nhanh,.",POS,4,
Đàn nhìn cưng lắm 🎶🎵🎶.,POS,4,
Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ.,POS,4,
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het.",NEG,1,
Nhưng khá ok rồi.,POS,4,
Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực.,POS,5,
Chả ra gì cả .chất lượng kém.,NEG,1,
Gui sai một sp còn lại chất lượng tốt.,NEU,3,
Chất rất oke.,POS,5,
"Rất ưng, mặc thoải mái mà chất vải rất thích.",POS,5,
Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ.,NEG,2,
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng.,POS,5,
Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop.,POS,5,
Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch.,NEG,1,
"Ai thik mua,chọn size lớn hơn 2size ok hơn.",POS,4,
Đẹp hút hồn .,POS,5,
Giao hàng cũng nhanh ^^!,POS,4,
Giá còn rẻ.,POS,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì.",NEG,2,
Không tốt chất liệu sấu.,NEG,2,
"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá.",POS,5,
Vải kate thun mỏng nhẹ mát.,POS,5,
Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt.,POS,5,
Chất vải được.,POS,4,
"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy.",POS,5,
"Áo sơ mi đẹp, giống hình.",NEU,3,
"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè.",POS,5,
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra.,NEG,1,
"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀.",POS,5,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO.,POS,5,
Ko ưng y lam.,NEG,2,
Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút.,NEG,2,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Giờ chẳng biết làm gì với cái áo đó.,NEG,1,
Ncl rất ưng.,POS,5,
Thời gian giao hàng rất nhanh.,POS,5,
"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả.",POS,4,
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.",NEU,3,
Shop phục vụ rất tốt.,POS,5,
Chất áo mỏngg.,NEU,3,
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn.",POS,4,
chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun.,NEG,2,
"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><.",POS,5,
"Hàng chuẩn, uy tín.",POS,4,
Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!!,NEU,3,
Thời gian giao hàng rất nhanh.,POS,5,
Đặt hàng ko giao hàng là Sao vậy á.,NEG,1,
Hơi mỏng :)) k như mong đợi.,NEG,2,
Ủng hộ shop ngàn sao luôn nè 😋😋.,POS,5,
Hic.,NEG,2,
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính.",POS,4,
Giao hàng nhanh.,POS,4,
Chất lượng khá tốt.,POS,4,
Vải dày và co giãn tốt.,POS,4,
Nhưng nếu màu hồng tươi thì ok !,POS,4,
Vải rất đẹp.,POS,5,
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm.,NEU,3,
Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua.,POS,4,
"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :).",NEU,3,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Nỉ ấm và dày.,POS,5,
Có chút trục trặc nhưng sửa lại thì vẫn đẹp.,POS,4,
Chất lượng sản phẩm tuyệt vời.,POS,5,
"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.",POS,5,
Giao lâu.,NEG,2,
Chất dai đanh và lì mặt.,NEU,3,
Giao hàg thì thôi nhah khỏi nói.,POS,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng.,POS,4,
Muốn làm đại lý sỉ.,POS,5,
San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua.,NEU,3,
Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng.,POS,4,
